year,id_,age,educ,sex,race,rincome,ballot,rheight
2022,326,52,6 years of college,FEMALE,White,$25000 OR MORE,Ballot a,-100
2022,327,.n:  No answer,11th grade,.n:  No answer,White,.r:  Refused,Ballot b,-100
2022,328,47,4 years of college,FEMALE,Black,$25000 OR MORE,Ballot b,-100
2022,329,54,2 years of college,FEMALE,Other,$25000 OR MORE,Ballot c,60
2022,330,33,4 years of college,MALE,Other,$25000 OR MORE,Ballot b,-100
2022,331,20,12th grade,MALE,Other,$1000 TO 2999,Ballot a,-100
2022,332,48,6th grade,FEMALE,Other,$15000 - 19999,Ballot b,-100
2022,333,.n:  No answer,4 years of college,MALE,White,.i:  Inapplicable,Ballot a,-100
2022,334,35,11th grade,FEMALE,Other,$10000 - 14999,Ballot b,-100
2022,335,.n:  No answer,3 years of college,FEMALE,White,.r:  Refused,Ballot a,-100
2022,336,39,12th grade,FEMALE,White,$25000 OR MORE,Ballot b,-100
2022,337,39,4 years of college,MALE,White,$25000 OR MORE,Ballot c,73
2022,338,31,12th grade,MALE,Other,$25000 OR MORE,Ballot c,67
2022,339,37,10th grade,FEMALE,Other,.i:  Inapplicable,Ballot b,-100
2022,340,30,4 years of college,FEMALE,Other,$15000 - 19999,Ballot b,-100
2022,341,24,5 years of college,FEMALE,White,$25000 OR MORE,Ballot c,63
2022,342,26,2 years of college,MALE,Other,$15000 - 19999,Ballot a,-100
2022,343,21,2 years of college,MALE,White,$25000 OR MORE,Ballot b,-100
