kinderage,ses,books,wicFk,black,hispanic,asian,other,female,wic,teenmom,thirtymom,bweight,zmathFk,zreadFk,zmath8,zread8
64,-0.13,100,1,0,1,0,0,0,1,0,0,135,-0.6324002146720886,-1.1289148330688477,0.1089569479227066,0.41397276520729065
67,-0.04,80,0,0,0,0,0,0,0,0,1,152,-0.09604855626821518,-0.14199717342853546,-1.9246143102645874,0.4382907748222351
69,-0.22,150,0,0,0,0,0,1,0,0,0,118,0.07108329236507416,0.8613526821136475,0.5767477750778198,-0.14719454944133759
60,-0.42,100,1,0,0,0,0,1,1,1,0,111,0.040497180074453354,0.6216313242912292,-0.28387582302093506,0.5900973081588745
73,1.09,200,0,0,0,0,0,0,0,0,0,124,-0.022860035300254822,9.551647235639393e-5,-1.0191081762313843,-0.5812422037124634
72,1.46,150,0,0,0,0,0,0,0,0,0,117,1.361167311668396,-0.19032809138298035,0.9098931550979614,0.8885508179664612
63,1.4,40,0,0,0,0,0,1,0,0,0,98,0.9460684061050415,2.513303756713867,-0.1848578304052353,1.1280508041381836
71,1.1,100,0,0,0,0,0,1,0,0,1,116,0.7461656332015991,-0.4890134334564209,-0.8497594594955444,0.4047612249851227
71,1.25,100,0,0,0,0,0,1,0,0,1,112,1.0148875713348389,0.19535252451896667,0.5425083637237549,1.0543584823608398
66,1.87,60,0,0,0,0,0,0,0,0,1,104,0.08637655526399612,-0.8833938241004944,0.35048696398735046,0.7669589519500732
67,0.77,50,0,0,0,0,0,1,0,0,1,136,0.7297800183296204,-0.3788188099861145,0.7104683518409729,0.7323234677314758
66,1.24,200,0,0,0,0,0,0,0,0,0,132,1.5698091983795166,1.0479100942611694,0.43654942512512207,0.8063840270042419
73,1.58,100,0,0,0,0,0,0,0,0,1,144,0.6948243379592896,0.11125680059194565,1.2435002326965332,1.2665927410125732
70,1.35,50,0,0,0,0,0,1,0,0,0,144,1.3032721281051636,0.19245277345180511,0.843264102935791,0.004611982498317957
72,1.8,200,0,0,0,0,0,0,0,0,1,118,1.7140015363693237,1.28086519241333,0.8585333228111267,1.05472731590271
69,0.5,150,0,0,0,0,0,1,0,0,0,112,0.2556931972503662,0.3190799355506897,0.9024897813796997,0.849862813949585
64,0.04,200,0,0,0,0,0,0,0,0,1,136,3.4006147384643555,2.0319278240203857,1.0847941637039185,1.1693189144134521
74,1.41,150,0,0,0,0,0,1,0,0,0,25,4.210057258605957,2.0947582721710205,0.7192597985267639,1.2500114440917969
68,0.31,200,0,0,0,1,0,1,0,0,1,153,1.6135040521621704,1.225767970085144,0.3555767238140106,0.9353455901145935
62,-0.09,100,1,0,0,0,0,0,1,0,0,138,0.7701973915100098,0.45633959770202637,1.0547181367874146,1.237852692604065
67,0.52,12,0,0,0,0,0,0,0,0,0,121,1.001779317855835,0.443773478269577,0.7951427698135376,0.2146349400281906
64,0.6,100,0,0,0,0,0,0,0,0,0,126,0.1628420352935791,-0.31212225556373596,0.781724750995636,0.12030887603759766
70,0.84,100,0,0,0,0,0,0,0,0,1,144,4.269045352935791,1.0363107919692993,1.2222163677215576,1.3424956798553467
64,0.83,75,0,0,0,0,0,0,0,0,0,119,2.853339195251465,1.402659296989441,0.7900530099868774,0.6984251141548157
71,-0.27,15,1,1,0,0,0,1,1,0,0,77,1.1568950414657593,1.0575765371322632,-0.2713834047317505,0.4633464515209198
61,0.4,50,1,0,0,0,0,0,1,0,0,122,0.24695426225662231,-0.3382209837436676,-0.3116381764411926,-0.1567743420600891
60,-0.32,100,1,0,0,0,0,0,1,1,0,118,3.197434663772583,2.7742912769317627,0.9214606881141663,-0.08602979779243469
63,0.06,100,0,0,0,0,0,0,0,0,0,126,0.9548075199127197,0.6738287806510925,0.18761669099330902,-0.2927367389202118
60,-0.36,20,0,0,0,0,0,0,0,1,0,137,-1.1523663997650146,-0.8157304525375366,0.27506718039512634,-0.01602177321910858
62,0.55,100,1,0,1,0,0,0,1,1,0,114,-0.7525604963302612,-0.861161470413208,0.6396751403808594,0.9828768968582153
62,0.2,40,0,0,0,0,0,0,0,0,0,128,0.8586792349815369,0.08999107778072357,0.9941043853759766,0.018244879320263863
61,-0.02,100,1,0,0,0,0,0,1,0,0,109,-0.18999208509922028,-0.46098142862319946,0.8585333228111267,-0.45596492290496826
60,1.18,100,0,0,0,0,0,0,0,0,1,131,1.2038668394088745,0.7124936580657959,1.051941990852356,0.8837611675262451
